Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,122.79,123.16,121.44,121.72,3574609,MCD
29-Dec-16,122.76,123.36,122.76,122.79,1943461,MCD
28-Dec-16,122.93,123.35,122.61,122.68,1980189,MCD
27-Dec-16,123.30,123.65,122.97,123.07,1919649,MCD
23-Dec-16,123.37,123.83,123.07,123.14,2164391,MCD
22-Dec-16,123.12,124.00,123.09,123.72,3037126,MCD
21-Dec-16,123.15,123.76,123.10,123.18,2762883,MCD
20-Dec-16,123.18,123.90,122.71,123.33,2768822,MCD
19-Dec-16,123.23,123.66,122.77,122.99,3545487,MCD
16-Dec-16,122.89,123.84,122.54,123.24,10793788,MCD
15-Dec-16,122.97,123.36,121.77,122.36,4402760,MCD
14-Dec-16,122.87,123.40,122.39,122.84,4967405,MCD
13-Dec-16,121.78,122.92,121.76,122.68,4307966,MCD
12-Dec-16,121.57,122.25,121.26,121.74,4172434,MCD
9-Dec-16,120.57,121.27,120.21,121.26,2623713,MCD
8-Dec-16,120.05,121.15,119.50,120.45,3255709,MCD
7-Dec-16,119.41,120.13,118.46,119.92,4059907,MCD
6-Dec-16,119.29,119.65,118.60,119.25,3367984,MCD
5-Dec-16,119.45,120.34,119.03,119.29,5191935,MCD
2-Dec-16,118.00,118.50,117.71,118.24,3348723,MCD
1-Dec-16,118.96,118.96,117.87,118.47,4444978,MCD
30-Nov-16,120.22,120.49,119.27,119.27,5696096,MCD
29-Nov-16,120.38,120.79,119.02,120.68,6370935,MCD
28-Nov-16,120.38,121.87,120.23,121.82,5931717,MCD
25-Nov-16,120.08,120.99,119.92,120.66,1709105,MCD
23-Nov-16,119.73,120.76,119.73,120.14,2872059,MCD
22-Nov-16,119.50,120.29,118.88,119.69,3699103,MCD
21-Nov-16,119.80,120.50,118.96,119.50,3603269,MCD
18-Nov-16,119.26,120.24,118.91,120.00,3655358,MCD
17-Nov-16,118.89,119.50,118.28,119.45,2833579,MCD
16-Nov-16,118.86,119.60,118.46,119.21,5371085,MCD
15-Nov-16,117.58,118.48,117.02,118.32,4447865,MCD
14-Nov-16,114.99,118.75,114.72,117.86,7093249,MCD
11-Nov-16,114.67,114.96,114.17,114.22,4331192,MCD
10-Nov-16,115.03,115.04,113.78,114.51,4437714,MCD
9-Nov-16,112.09,115.42,111.80,114.98,5099493,MCD
8-Nov-16,113.01,114.25,113.00,114.11,3300157,MCD
7-Nov-16,112.00,113.28,111.88,112.82,3842380,MCD
4-Nov-16,111.99,112.00,110.83,111.04,3457385,MCD
3-Nov-16,112.74,112.85,111.52,111.72,3890687,MCD
2-Nov-16,112.10,112.77,111.82,112.39,3512534,MCD
1-Nov-16,112.65,112.77,111.95,112.25,3935634,MCD
31-Oct-16,112.46,112.73,111.79,112.57,4181577,MCD
28-Oct-16,112.26,112.35,111.53,112.10,3304686,MCD
27-Oct-16,112.17,112.49,111.78,112.08,2960726,MCD
26-Oct-16,112.27,112.70,111.40,112.11,3763114,MCD
25-Oct-16,113.50,113.54,112.67,112.72,4878955,MCD
24-Oct-16,114.25,114.50,112.64,113.57,6173488,MCD
21-Oct-16,113.27,114.50,112.75,113.93,10108048,MCD
20-Oct-16,111.30,111.30,110.33,110.57,7250742,MCD
19-Oct-16,111.71,111.77,111.12,111.26,6433443,MCD
18-Oct-16,112.89,113.09,111.23,111.25,6198363,MCD
17-Oct-16,113.91,114.40,112.10,112.41,5655748,MCD
14-Oct-16,114.90,115.11,114.07,114.09,5312532,MCD
13-Oct-16,114.14,115.74,114.07,115.41,4464728,MCD
12-Oct-16,113.60,115.23,113.54,114.71,3340166,MCD
11-Oct-16,114.65,115.23,113.56,113.68,3943282,MCD
10-Oct-16,114.21,114.99,114.16,114.71,3290302,MCD
