Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,28.63,28.83,28.33,28.83,5461231,MGM
29-Dec-16,28.62,28.77,28.38,28.50,3693050,MGM
28-Dec-16,29.00,29.18,28.62,28.72,3494565,MGM
27-Dec-16,29.34,29.50,29.00,29.01,2730020,MGM
23-Dec-16,29.29,29.52,29.21,29.36,2587064,MGM
22-Dec-16,29.28,29.41,29.01,29.33,3627962,MGM
21-Dec-16,28.63,29.38,28.40,29.28,6509247,MGM
20-Dec-16,28.81,28.98,28.40,28.63,4386968,MGM
19-Dec-16,28.83,29.00,28.56,28.59,4703666,MGM
16-Dec-16,29.32,29.45,28.74,28.86,8520789,MGM
15-Dec-16,29.70,29.90,28.93,28.97,8584520,MGM
14-Dec-16,29.64,30.09,29.25,29.72,10258856,MGM
13-Dec-16,29.99,30.26,29.70,29.79,11258331,MGM
12-Dec-16,29.53,29.60,29.03,29.19,7094820,MGM
9-Dec-16,29.75,30.07,28.89,29.27,15863907,MGM
8-Dec-16,29.93,30.62,27.86,28.65,27910057,MGM
7-Dec-16,29.90,29.98,29.54,29.95,5552523,MGM
6-Dec-16,29.24,29.75,29.13,29.63,8575607,MGM
5-Dec-16,29.31,29.36,28.81,28.97,7050020,MGM
2-Dec-16,28.37,29.27,28.34,29.01,8673480,MGM
1-Dec-16,28.71,28.90,27.95,28.52,8466418,MGM
30-Nov-16,29.08,29.08,28.55,28.71,7429691,MGM
29-Nov-16,28.72,29.04,28.62,28.87,8355530,MGM
28-Nov-16,28.78,28.84,28.59,28.73,8285637,MGM
25-Nov-16,28.48,28.68,28.46,28.67,1660346,MGM
23-Nov-16,28.63,28.72,28.40,28.47,4122830,MGM
22-Nov-16,28.65,28.83,28.52,28.71,7083660,MGM
21-Nov-16,29.12,29.35,28.95,28.97,10263831,MGM
18-Nov-16,28.20,28.73,28.18,28.43,9823478,MGM
17-Nov-16,27.84,28.25,27.77,28.03,6986193,MGM
16-Nov-16,27.75,28.14,27.49,27.71,5723988,MGM
15-Nov-16,27.42,27.96,27.30,27.83,7372888,MGM
14-Nov-16,27.44,27.67,26.77,27.37,9510519,MGM
11-Nov-16,27.68,27.73,27.20,27.50,7367048,MGM
10-Nov-16,28.57,28.71,27.40,27.87,9536619,MGM
9-Nov-16,27.75,28.80,27.56,28.32,10960588,MGM
8-Nov-16,27.28,28.30,27.28,28.00,13466826,MGM
7-Nov-16,28.08,28.30,26.84,27.18,19040049,MGM
4-Nov-16,26.08,26.65,26.01,26.41,11225178,MGM
3-Nov-16,25.98,26.50,25.74,25.77,5990840,MGM
2-Nov-16,26.35,26.36,25.73,25.94,6798203,MGM
1-Nov-16,26.65,26.98,26.34,26.40,9406043,MGM
31-Oct-16,26.18,26.31,25.96,26.17,3605703,MGM
28-Oct-16,25.91,26.46,25.91,26.07,4473895,MGM
27-Oct-16,26.19,26.34,25.84,25.98,5279227,MGM
26-Oct-16,26.03,26.33,25.94,26.13,3654051,MGM
25-Oct-16,26.23,26.32,26.05,26.08,5219633,MGM
24-Oct-16,26.31,26.46,26.22,26.28,2980512,MGM
21-Oct-16,26.09,26.30,25.59,26.10,3255840,MGM
20-Oct-16,26.04,26.38,25.98,26.12,3466738,MGM
19-Oct-16,25.82,26.18,25.73,26.09,3431687,MGM
18-Oct-16,26.31,26.31,25.79,25.86,2572212,MGM
17-Oct-16,25.32,26.17,25.25,25.98,4071448,MGM
14-Oct-16,26.24,26.33,25.62,25.75,3806401,MGM
13-Oct-16,25.99,26.12,25.69,26.06,3990957,MGM
12-Oct-16,26.54,26.58,26.31,26.33,2317282,MGM
11-Oct-16,26.89,27.02,26.43,26.55,3128867,MGM
10-Oct-16,26.54,27.04,26.54,26.79,5978406,MGM
7-Oct-16,26.76,26.80,26.38,26.42,3767315,MGM
6-Oct-16,26.96,27.04,26.56,26.80,5438421,MGM
5-Oct-16,26.35,26.85,26.34,26.64,7176470,MGM
4-Oct-16,26.33,26.40,26.00,26.23,3985735,MGM
3-Oct-16,26.33,26.43,26.15,26.19,3866272,MGM
30-Sep-16,25.68,26.20,25.52,26.03,6109043,MGM
29-Sep-16,26.37,26.49,25.49,25.85,8836684,MGM
28-Sep-16,25.67,26.39,25.65,26.35,6874291,MGM
27-Sep-16,25.36,25.68,25.24,25.57,3652855,MGM
26-Sep-16,25.45,25.62,25.18,25.36,2999075,MGM
23-Sep-16,25.52,25.69,25.35,25.65,8546909,MGM
22-Sep-16,25.28,25.86,25.28,25.79,5946556,MGM
21-Sep-16,25.08,25.16,24.78,25.08,3926587,MGM
20-Sep-16,25.03,25.25,24.80,24.97,3260648,MGM
19-Sep-16,25.56,25.66,24.86,24.94,6182847,MGM
16-Sep-16,25.54,25.72,25.38,25.44,4792084,MGM
15-Sep-16,25.27,25.65,25.15,25.54,6039027,MGM
14-Sep-16,24.89,25.41,24.75,25.22,6036037,MGM
13-Sep-16,24.86,25.11,24.64,24.86,6775802,MGM
12-Sep-16,24.53,25.14,24.26,25.08,6006977,MGM
