Date,Open,High,Low,Close,Volume
8-Aug-16,96.11,96.29,95.58,95.75,7792013
5-Aug-16,95.40,96.00,95.35,95.83,6528537
4-Aug-16,95.53,95.98,94.71,95.16,10038331
3-Aug-16,95.06,96.42,95.00,96.09,9068697
2-Aug-16,95.35,95.75,94.56,95.01,7644091
1-Aug-16,96.15,96.20,95.08,95.54,7131587
29-Jul-16,95.85,96.38,95.85,95.95,8263966
28-Jul-16,96.40,96.49,95.82,95.91,7713512
27-Jul-16,96.70,96.93,95.86,96.33,6911392
26-Jul-16,97.02,97.16,96.34,96.69,6274830
25-Jul-16,97.90,98.06,97.25,97.39,4825498
22-Jul-16,98.39,98.42,97.47,97.71,5381662
21-Jul-16,98.17,99.12,97.62,98.01,7069554
20-Jul-16,98.65,98.69,97.14,98.22,10664885
19-Jul-16,99.81,99.99,99.36,99.47,5742736
18-Jul-16,99.90,100.71,99.87,100.15,5051251
15-Jul-16,100.42,100.54,99.54,99.80,5764374
14-Jul-16,100.42,100.80,99.68,99.97,7461465
13-Jul-16,100.46,100.80,99.85,99.88,5494690
12-Jul-16,100.18,100.79,100.00,100.20,8508457
11-Jul-16,99.80,100.35,99.40,99.98,5428018
8-Jul-16,99.25,99.85,98.77,99.62,6045805
7-Jul-16,97.63,98.48,97.58,98.41,5146032
6-Jul-16,97.00,98.52,96.76,98.45,6223292
5-Jul-16,97.77,98.00,97.16,97.66,5846412
1-Jul-16,97.75,98.64,97.71,98.03,5681627
30-Jun-16,97.10,98.07,96.88,97.82,7189489
29-Jun-16,96.91,97.29,96.28,96.98,6563579
28-Jun-16,95.46,96.28,95.14,96.05,7143103
27-Jun-16,94.91,95.23,94.00,94.38,9485245
24-Jun-16,96.01,97.28,95.14,95.72,15079933
23-Jun-16,99.44,99.62,98.61,99.02,5826073
22-Jun-16,99.08,99.62,98.70,98.79,4948868
21-Jun-16,99.73,99.79,98.77,98.82,5202527
20-Jun-16,100.08,100.96,99.50,99.57,8268636
17-Jun-16,98.41,99.14,98.27,99.00,8959401
16-Jun-16,97.80,98.63,96.86,98.38,7129696
15-Jun-16,98.19,99.00,98.19,98.27,6663175
14-Jun-16,97.20,98.55,97.18,98.40,6125748
13-Jun-16,96.75,98.98,96.70,97.57,8766346
10-Jun-16,97.15,97.71,96.78,97.34,7204388
9-Jun-16,97.82,97.93,97.10,97.84,5379363
8-Jun-16,98.49,98.82,97.70,98.04,5466157
7-Jun-16,99.00,99.04,98.32,98.35,5608418
6-Jun-16,98.96,99.12,98.46,98.78,4986555
3-Jun-16,98.66,98.92,97.73,98.75,6857453
2-Jun-16,98.07,98.72,97.87,98.72,4830090
