Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
29-Jun-16,25.21,25.28,25.18,25.20,541813,STR,Gas/Oil
28-Jun-16,25.16,25.22,25.12,25.22,970488,STR,Gas/Oil
27-Jun-16,25.08,25.23,25.05,25.21,1170044,STR,Gas/Oil
24-Jun-16,24.92,25.13,24.91,25.12,1184556,STR,Gas/Oil
23-Jun-16,25.04,25.08,25.00,25.03,670269,STR,Gas/Oil
22-Jun-16,25.04,25.12,25.01,25.03,583752,STR,Gas/Oil
21-Jun-16,25.02,25.06,24.96,25.03,868813,STR,Gas/Oil
20-Jun-16,25.01,25.05,24.99,25.00,1167380,STR,Gas/Oil
17-Jun-16,25.01,25.03,24.96,25.00,2626247,STR,Gas/Oil
16-Jun-16,25.04,25.10,25.00,25.02,608734,STR,Gas/Oil
15-Jun-16,25.13,25.13,25.04,25.04,564393,STR,Gas/Oil
14-Jun-16,25.00,25.14,24.98,25.14,867343,STR,Gas/Oil
13-Jun-16,25.01,25.04,24.97,24.99,1423440,STR,Gas/Oil
10-Jun-16,25.03,25.06,25.00,25.04,730544,STR,Gas/Oil
9-Jun-16,25.02,25.06,25.00,25.04,1012679,STR,Gas/Oil
8-Jun-16,25.02,25.09,25.00,25.03,1142739,STR,Gas/Oil
7-Jun-16,25.02,25.05,24.99,25.05,428514,STR,Gas/Oil
6-Jun-16,24.97,25.04,24.97,25.02,877712,STR,Gas/Oil
3-Jun-16,25.00,25.15,24.95,24.97,789635,STR,Gas/Oil
2-Jun-16,25.00,25.03,24.94,25.00,1268514,STR,Gas/Oil
