Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
30-Dec-16,90.03,90.70,90.01,90.26,9117830,XOM,Oil and Gas
29-Dec-16,90.10,90.60,90.03,90.35,6684661,XOM,Oil and Gas
28-Dec-16,90.68,91.11,90.26,90.30,6745940,XOM,Oil and Gas
27-Dec-16,90.83,91.11,90.58,90.75,4960556,XOM,Oil and Gas
23-Dec-16,90.89,90.96,90.52,90.71,4266541,XOM,Oil and Gas
22-Dec-16,90.02,90.90,90.02,90.87,8003106,XOM,Oil and Gas
21-Dec-16,90.68,90.90,90.18,90.28,7308044,XOM,Oil and Gas
20-Dec-16,90.51,90.85,90.29,90.43,7221041,XOM,Oil and Gas
19-Dec-16,91.38,91.54,90.20,90.42,9674437,XOM,Oil and Gas
16-Dec-16,91.52,91.67,90.64,91.18,20560435,XOM,Oil and Gas
15-Dec-16,90.10,90.98,89.76,90.89,11155111,XOM,Oil and Gas
14-Dec-16,92.26,92.27,90.17,90.58,16325355,XOM,Oil and Gas
13-Dec-16,91.89,93.22,91.17,92.58,18829345,XOM,Oil and Gas
12-Dec-16,90.14,91.50,90.14,90.98,15545409,XOM,Oil and Gas
9-Dec-16,88.64,89.00,88.18,89.00,8021683,XOM,Oil and Gas
8-Dec-16,88.05,88.85,87.65,88.32,9086715,XOM,Oil and Gas
7-Dec-16,87.63,88.15,87.20,88.07,11182628,XOM,Oil and Gas
6-Dec-16,87.27,87.87,86.70,87.56,11293620,XOM,Oil and Gas
5-Dec-16,87.39,87.82,86.92,87.48,11741074,XOM,Oil and Gas
2-Dec-16,87.19,87.99,86.60,87.04,9706646,XOM,Oil and Gas
1-Dec-16,87.98,88.50,87.24,87.24,13005560,XOM,Oil and Gas
30-Nov-16,87.60,88.19,87.20,87.30,22696209,XOM,Oil and Gas
29-Nov-16,85.42,86.08,85.08,85.90,9181096,XOM,Oil and Gas
28-Nov-16,86.95,87.13,86.37,86.47,7449634,XOM,Oil and Gas
25-Nov-16,86.71,87.14,86.54,87.12,5043042,XOM,Oil and Gas
23-Nov-16,86.54,87.08,86.31,86.92,6061281,XOM,Oil and Gas
