Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
30-Dec-16,103.58,103.85,102.51,103.43,732968,HSY,Food
29-Dec-16,103.07,104.20,103.07,103.99,625130,HSY,Food
28-Dec-16,103.70,103.70,102.89,103.15,467134,HSY,Food
27-Dec-16,103.57,104.04,103.50,103.80,362305,HSY,Food
23-Dec-16,104.41,104.50,103.31,103.62,581534,HSY,Food
22-Dec-16,103.50,105.27,103.40,104.44,1505306,HSY,Food
21-Dec-16,102.97,104.03,102.64,103.17,1002871,HSY,Food
20-Dec-16,100.69,102.80,100.65,102.61,928410,HSY,Food
19-Dec-16,101.30,101.54,100.62,101.46,566671,HSY,Food
16-Dec-16,100.91,101.62,100.11,101.16,929254,HSY,Food
15-Dec-16,100.10,101.06,98.85,100.71,1377677,HSY,Food
14-Dec-16,101.12,101.47,99.60,99.99,731565,HSY,Food
13-Dec-16,101.18,101.96,100.52,100.89,696440,HSY,Food
12-Dec-16,100.25,101.74,100.04,101.10,823911,HSY,Food
9-Dec-16,98.43,100.69,98.12,100.30,1725051,HSY,Food
8-Dec-16,99.08,99.48,98.29,98.44,947204,HSY,Food
7-Dec-16,98.55,99.29,97.66,99.16,883536,HSY,Food
6-Dec-16,98.08,98.70,97.51,98.49,1279844,HSY,Food
5-Dec-16,96.95,98.14,96.46,97.89,706474,HSY,Food
2-Dec-16,96.58,97.64,96.20,97.08,825619,HSY,Food
1-Dec-16,96.50,97.34,95.68,96.28,1090123,HSY,Food
30-Nov-16,97.45,98.00,96.53,96.64,4424195,HSY,Food
29-Nov-16,97.77,98.72,97.06,98.13,1040336,HSY,Food
28-Nov-16,97.65,98.48,97.50,97.84,931433,HSY,Food
25-Nov-16,97.68,97.98,97.05,97.73,564405,HSY,Food
23-Nov-16,97.44,97.88,96.39,97.16,1083563,HSY,Food
22-Nov-16,98.14,98.28,97.52,97.72,1033683,HSY,Food
21-Nov-16,97.47,98.36,96.69,97.79,1232846,HSY,Food
18-Nov-16,98.96,99.63,97.91,98.56,1218231,HSY,Food
17-Nov-16,99.09,100.02,98.19,99.16,1350718,HSY,Food
16-Nov-16,99.20,100.10,99.05,99.30,942748,HSY,Food
15-Nov-16,98.93,99.86,98.71,99.13,1202082,HSY,Food
14-Nov-16,97.12,99.14,96.50,98.92,1484856,HSY,Food
11-Nov-16,97.18,98.35,96.26,97.25,779002,HSY,Food
10-Nov-16,100.22,100.22,96.93,97.27,2392999,HSY,Food
9-Nov-16,99.32,101.02,98.30,100.46,1354945,HSY,Food
8-Nov-16,101.66,102.95,101.17,101.19,1240886,HSY,Food
7-Nov-16,100.56,101.71,100.45,101.60,1830812,HSY,Food
4-Nov-16,100.80,101.06,99.79,100.00,853261,HSY,Food
3-Nov-16,101.72,101.83,100.39,100.68,838481,HSY,Food
2-Nov-16,101.90,102.44,101.16,101.84,1055049,HSY,Food
1-Nov-16,102.60,102.60,101.45,101.99,1138662,HSY,Food
31-Oct-16,102.44,103.04,101.46,102.46,1724933,HSY,Food
28-Oct-16,97.70,103.36,97.70,102.40,4346814,HSY,Food
27-Oct-16,96.68,97.56,95.34,95.51,2422827,HSY,Food
26-Oct-16,95.90,96.52,95.40,96.15,775768,HSY,Food
25-Oct-16,95.50,95.86,94.98,95.81,703597,HSY,Food
24-Oct-16,95.70,96.00,94.98,95.29,648160,HSY,Food
21-Oct-16,95.02,95.39,94.03,95.36,1112674,HSY,Food
20-Oct-16,95.69,95.80,95.01,95.12,753211,HSY,Food
19-Oct-16,96.20,96.32,95.08,95.63,696960,HSY,Food
18-Oct-16,97.24,97.40,96.24,96.31,776468,HSY,Food
17-Oct-16,96.40,96.76,95.98,96.74,749557,HSY,Food
14-Oct-16,95.95,97.18,95.94,96.43,1566730,HSY,Food
13-Oct-16,94.64,95.91,94.20,95.65,1022246,HSY,Food
12-Oct-16,94.69,95.23,94.60,94.95,688445,HSY,Food
11-Oct-16,95.74,95.90,94.34,94.63,719769,HSY,Food
10-Oct-16,95.21,96.54,95.21,95.59,754425,HSY,Food
7-Oct-16,95.36,95.52,94.28,95.21,1231371,HSY,Food
6-Oct-16,94.46,95.57,94.46,95.11,1569737,HSY,Food
5-Oct-16,95.01,95.27,94.52,94.71,2303295,HSY,Food
4-Oct-16,95.22,95.82,94.85,95.03,1199567,HSY,Food
3-Oct-16,95.30,95.61,94.88,95.41,910743,HSY,Food
30-Sep-16,94.96,96.23,94.69,95.60,959812,HSY,Food
29-Sep-16,95.36,96.00,94.61,94.64,976326,HSY,Food
28-Sep-16,94.98,95.41,94.58,95.13,722681,HSY,Food
27-Sep-16,95.75,95.86,94.45,94.70,1437677,HSY,Food
26-Sep-16,95.46,96.17,95.22,95.33,859279,HSY,Food
23-Sep-16,95.79,97.72,94.77,95.85,3847842,HSY,Food
22-Sep-16,96.36,96.99,95.63,96.16,947457,HSY,Food
21-Sep-16,95.40,96.63,95.13,96.36,1062668,HSY,Food
20-Sep-16,95.51,96.00,95.41,95.52,1227431,HSY,Food
19-Sep-16,95.89,96.21,95.26,95.45,1282636,HSY,Food
16-Sep-16,96.08,96.63,95.32,95.48,1350679,HSY,Food
