Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
30-Dec-16,84.17,84.45,83.92,84.08,6209848,PG,Household Products
29-Dec-16,84.24,84.49,84.10,84.35,3718306,PG,Household Products
28-Dec-16,84.40,84.63,83.94,84.07,4298812,PG,Household Products
27-Dec-16,84.90,84.94,84.42,84.60,3782582,PG,Household Products
23-Dec-16,84.68,85.18,84.55,84.96,5284195,PG,Household Products
22-Dec-16,84.00,84.61,83.87,84.47,7864796,PG,Household Products
21-Dec-16,84.19,84.72,84.12,84.28,6099334,PG,Household Products
20-Dec-16,84.57,84.71,84.19,84.57,7485433,PG,Household Products
19-Dec-16,84.75,84.98,84.32,84.71,6431223,PG,Household Products
16-Dec-16,84.90,85.12,84.15,84.68,21172420,PG,Household Products
15-Dec-16,84.15,84.80,83.61,84.68,8768128,PG,Household Products
14-Dec-16,85.29,85.74,84.17,84.37,12292170,PG,Household Products
13-Dec-16,84.67,85.36,84.53,85.18,11795940,PG,Household Products
12-Dec-16,84.21,85.18,84.21,85.13,7494115,PG,Household Products
9-Dec-16,83.52,84.40,83.47,84.37,8004453,PG,Household Products
8-Dec-16,83.79,84.18,83.50,83.50,7522799,PG,Household Products
7-Dec-16,82.74,84.28,82.71,84.18,8567706,PG,Household Products
6-Dec-16,83.24,83.25,82.61,82.91,7327194,PG,Household Products
5-Dec-16,82.56,83.08,82.48,82.99,8597543,PG,Household Products
2-Dec-16,82.35,82.68,82.07,82.40,9079412,PG,Household Products
1-Dec-16,82.21,82.32,81.18,81.86,12516920,PG,Household Products
30-Nov-16,82.52,82.83,82.26,82.46,12115474,PG,Household Products
29-Nov-16,83.42,83.48,82.69,82.89,6183113,PG,Household Products
28-Nov-16,83.13,83.36,82.76,83.07,6990064,PG,Household Products
25-Nov-16,82.99,83.46,82.95,83.46,3883098,PG,Household Products
23-Nov-16,82.59,82.93,82.52,82.68,10763830,PG,Household Products
22-Nov-16,83.01,83.18,82.66,82.76,7426508,PG,Household Products
21-Nov-16,82.10,82.75,81.71,82.64,11482061,PG,Household Products
18-Nov-16,82.92,83.10,81.99,82.00,14565456,PG,Household Products
17-Nov-16,83.27,83.50,82.93,83.07,9078077,PG,Household Products
16-Nov-16,83.98,84.20,83.17,83.19,8542909,PG,Household Products
15-Nov-16,84.58,84.58,82.88,83.62,9464037,PG,Household Products
14-Nov-16,83.56,83.78,82.76,83.00,12862496,PG,Household Products
11-Nov-16,82.67,84.06,82.65,83.58,8905669,PG,Household Products
10-Nov-16,85.51,85.70,82.18,82.96,22095710,PG,Household Products
9-Nov-16,85.26,86.54,84.31,85.93,11972512,PG,Household Products
8-Nov-16,86.77,87.69,86.59,87.46,7674604,PG,Household Products
