Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
30-Dec-16,10.13,10.34,10.00,10.30,124511,JMBA,Food
29-Dec-16,10.16,10.33,10.06,10.15,66747,JMBA,Food
28-Dec-16,10.30,10.39,10.16,10.19,92080,JMBA,Food
27-Dec-16,10.20,10.40,10.20,10.35,67472,JMBA,Food
23-Dec-16,10.25,10.34,10.14,10.22,45619,JMBA,Food
22-Dec-16,10.60,10.61,10.21,10.25,54203,JMBA,Food
21-Dec-16,10.27,10.65,10.21,10.62,170450,JMBA,Food
20-Dec-16,10.38,10.51,10.23,10.31,124721,JMBA,Food
19-Dec-16,10.38,10.54,10.31,10.34,57390,JMBA,Food
16-Dec-16,10.46,10.55,10.39,10.41,83882,JMBA,Food
15-Dec-16,10.59,10.59,10.37,10.41,46953,JMBA,Food
14-Dec-16,10.60,10.65,10.35,10.43,54248,JMBA,Food
13-Dec-16,10.71,10.76,10.55,10.62,61388,JMBA,Food
12-Dec-16,10.72,10.80,10.67,10.70,45815,JMBA,Food
9-Dec-16,10.38,10.75,10.38,10.72,78054,JMBA,Food
8-Dec-16,10.08,10.51,10.06,10.46,169619,JMBA,Food
7-Dec-16,10.05,10.21,10.03,10.10,110148,JMBA,Food
6-Dec-16,10.17,10.17,10.00,10.03,86474,JMBA,Food
5-Dec-16,10.12,10.38,10.10,10.17,103989,JMBA,Food
2-Dec-16,10.09,10.28,9.99,10.15,84658,JMBA,Food
1-Dec-16,9.93,10.19,9.65,10.05,161222,JMBA,Food
30-Nov-16,10.17,10.24,9.87,9.92,177479,JMBA,Food
29-Nov-16,10.11,10.24,10.10,10.13,32377,JMBA,Food
28-Nov-16,10.26,10.26,10.12,10.15,31839,JMBA,Food
25-Nov-16,10.30,10.30,10.21,10.25,14425,JMBA,Food
23-Nov-16,10.11,10.38,10.05,10.29,66095,JMBA,Food
22-Nov-16,10.22,10.29,10.07,10.17,100082,JMBA,Food
21-Nov-16,10.07,10.24,9.71,10.19,54289,JMBA,Food
18-Nov-16,10.09,10.23,10.00,10.11,163459,JMBA,Food
17-Nov-16,10.02,10.18,10.01,10.07,54124,JMBA,Food
16-Nov-16,10.02,10.18,9.96,10.04,111982,JMBA,Food
15-Nov-16,9.90,10.12,9.70,10.02,42574,JMBA,Food
14-Nov-16,10.16,10.28,9.98,10.01,72154,JMBA,Food
11-Nov-16,10.20,10.29,10.03,10.18,162111,JMBA,Food
10-Nov-16,10.17,10.32,10.09,10.13,110362,JMBA,Food
9-Nov-16,9.61,10.19,9.27,10.14,101613,JMBA,Food
